source_skill_id,source_skill,target_skill_id,target_skill,relationship,reason,difficulty,domain
SK367,Design Patterns,SK416,MVC Architecture,strong_prerequisite,Model-View-Controller is a foundational architectural pattern used in software engineering.,Intermediate,Software Engineering
SK015,JavaScript,SK417,JSON,prerequisite,JavaScript Object Notation is the standard data interchange format derived from JavaScript.,Beginner,Web Development
SK417,JSON,SK019,REST APIs,strong_prerequisite,REST APIs predominantly use JSON to format and transmit data payloads between client and server.,Beginner,Web Development
SK018,HTML/CSS,SK418,Web Accessibility (a11y),strong_prerequisite,Understanding HTML semantics is critical to building web applications accessible to users with disabilities.,Intermediate,Frontend Development
SK015,JavaScript,SK419,Webpack,recommended_prerequisite,Webpack is a static module bundler for modern JavaScript applications.,Intermediate,Frontend Development
SK049,React,SK420,React Router,strong_prerequisite,React Router is the standard routing library used to navigate between views in React applications.,Intermediate,Frontend Development
SK001,Python,SK421,Jupyter Notebooks,prerequisite,Jupyter Notebooks provide an interactive web-based environment for running Python code.,Beginner,Data Science
SK421,Jupyter Notebooks,SK142,Data Analysis,recommended_prerequisite,Jupyter is the industry-standard environment used by data analysts to explore datasets.,Beginner,Analytics
SK005,SQL,SK422,Window Functions,strong_prerequisite,Window functions are advanced SQL operations used to perform calculations across sets of table rows.,Advanced,Database
SK005,SQL,SK423,Database Indexing,strong_prerequisite,Indexing is a database optimization technique requiring strong knowledge of how SQL queries execute.,Advanced,Database
SK023,PostgreSQL,SK424,PostGIS,recommended_prerequisite,PostGIS is a spatial database extender for PostgreSQL allowing location queries.,Advanced,Database
SK012,AWS,SK425,Amazon DynamoDB,recommended_prerequisite,DynamoDB is AWS's proprietary NoSQL database requiring AWS ecosystem knowledge.,Intermediate,Cloud
SK012,AWS,SK426,AWS CloudFormation,recommended_prerequisite,CloudFormation provides infrastructure as code specifically tailored to the AWS cloud.,Advanced,Cloud
SK013,Microsoft Azure,SK427,Azure DevOps,recommended_prerequisite,"Azure DevOps provides developer services for support teams to plan work, collaborate, and build.",Intermediate,Cloud
SK014,GCP,SK428,BigQuery,recommended_prerequisite,"BigQuery is Google's fully managed, serverless data warehouse requiring GCP knowledge.",Intermediate,Cloud
SK346,Automation,SK429,Cron Jobs,prerequisite,Cron is a time-based job scheduler in Unix-like operating systems used for basic automation.,Beginner,DevOps
SK006,Docker,SK430,Docker Compose,strong_prerequisite,Docker Compose is a tool for defining and running multi-container Docker applications.,Intermediate,DevOps
SK006,Docker,SK431,Container Registry,prerequisite,Container registries are used to store and distribute the Docker images built by developers.,Beginner,DevOps
SK015,Kubernetes,SK432,Istio,recommended_prerequisite,Istio is a service mesh that provides traffic management and security for Kubernetes microservices.,Advanced,DevOps
SK358,Metasploit,SK433,Exploit Development,strong_prerequisite,Exploit development is an advanced cybersecurity skill that builds upon penetration testing frameworks.,Advanced,Cybersecurity
SK193,Cryptography,SK434,RSA Algorithm,strong_prerequisite,RSA is a public-key cryptosystem that relies heavily on advanced mathematical cryptography.,Advanced,Cybersecurity
SK192,Application Security,SK435,Static Code Analysis,recommended_prerequisite,Static analysis tools examine source code before a program is run to find security vulnerabilities.,Intermediate,Cybersecurity
SK026,Swift,SK436,Xcode,prerequisite,Xcode is Apple's integrated development environment for macOS used to write Swift applications.,Beginner,Mobile Development
SK027,Kotlin,SK437,Android Studio,prerequisite,Android Studio is the official integrated development environment for Google's Android operating system.,Beginner,Mobile Development
SK362,Android Development,SK438,Jetpack Compose,recommended_prerequisite,Jetpack Compose is Android's modern toolkit for building native UI using declarative functions.,Intermediate,Mobile Development
SK057,Flutter,SK439,Provider/Riverpod,recommended_prerequisite,Provider and Riverpod are standard state management solutions used in Flutter applications.,Intermediate,Mobile Development
SK368,System Design,SK440,Message Queues,strong_prerequisite,Message queues like RabbitMQ or Kafka are used in system design to decouple distributed services.,Advanced,Architecture
SK440,Message Queues,SK441,Apache Kafka,strong_prerequisite,Kafka is a distributed event streaming platform based on advanced message queue concepts.,Advanced,Data Engineering
SK440,Message Queues,SK442,RabbitMQ,strong_prerequisite,RabbitMQ is a widely used open-source message broker software.,Intermediate,Architecture
SK373,Automated Testing,SK443,Test-Driven Development,recommended_prerequisite,TDD is a software development process relying on software requirements being converted to test cases.,Advanced,Software Engineering
SK373,Automated Testing,SK444,Behavior-Driven Development,recommended_prerequisite,BDD is an agile software development process that encourages collaboration between developers and QA.,Advanced,Software Engineering
SK374,Selenium,SK445,Cucumber,recommended_prerequisite,"Cucumber is a tool that supports Behavior-Driven Development, often used alongside Selenium.",Intermediate,Testing
SK381,NoSQL,SK446,Graph Databases,strong_prerequisite,Graph databases like Neo4j are specialized NoSQL databases focused on data relationships.,Advanced,Database
SK446,Graph Databases,SK447,Neo4j,strong_prerequisite,Neo4j is the most popular native graph database management system.,Advanced,Database
SK381,NoSQL,SK448,Document Databases,prerequisite,Document databases are a primary category of NoSQL databases designed to store JSON-like documents.,Beginner,Database
SK213,Microcontrollers,SK449,I2C/SPI Protocols,strong_prerequisite,I2C and SPI are synchronous serial communication protocols used to attach peripherals to microcontrollers.,Intermediate,Embedded Systems
SK213,Microcontrollers,SK450,UART,strong_prerequisite,UART is a hardware communication protocol that uses asynchronous serial communication.,Intermediate,Embedded Systems
SK386,Embedded Linux,SK451,Yocto Project,strong_prerequisite,The Yocto Project is an open-source collaboration project that helps developers create custom Linux-based systems.,Advanced,Embedded Systems
SK241,Blockchain,SK452,Cryptoeconomics,recommended_prerequisite,Cryptoeconomics combines cryptography and economics to design robust decentralized networks.,Advanced,Blockchain
SK115,Solidity,SK453,ERC-20 Tokens,strong_prerequisite,ERC-20 is the technical standard for smart contracts implementing fungible tokens on Ethereum.,Intermediate,Blockchain
SK115,Solidity,SK454,ERC-721 Tokens (NFTs),strong_prerequisite,ERC-721 is the standard for representing ownership of non-fungible tokens on the Ethereum blockchain.,Intermediate,Blockchain
SK062,User Research,SK455,Persona Development,recommended_prerequisite,Personas are fictional characters created based on user research to represent different user types.,Beginner,UI/UX
SK063,Prototyping,SK456,Microinteractions,recommended_prerequisite,Microinteractions are subtle animations and design elements that enhance the user experience.,Intermediate,UI/UX
SK064,Figma,SK457,Auto Layout,strong_prerequisite,Auto Layout is a Figma feature that allows designs to dynamically adapt to different screen sizes.,Intermediate,UI/UX
SK080,3D Modeling,SK458,UV Mapping,strong_prerequisite,UV mapping is the 3D modeling process of projecting a 2D image to a 3D model's surface.,Intermediate,Game Design
SK080,3D Modeling,SK459,Rigging,strong_prerequisite,Rigging is the process of creating a skeletal structure for a 3D model to allow for animation.,Advanced,Game Design
SK079,Unity,SK460,Unity UI (uGUI),recommended_prerequisite,Unity UI is the primary system used to create user interfaces within Unity games.,Intermediate,Game Development
SK078,Unreal Engine,SK461,Material Editor,recommended_prerequisite,The Material Editor is a node-based interface used to create shaders and materials in Unreal.,Intermediate,Game Development
SK002,Machine Learning,SK462,Model Deployment,strong_prerequisite,Model deployment is the engineering process of integrating a machine learning model into a production environment.,Advanced,MLOps
SK462,Model Deployment,SK039,MLOps,strong_prerequisite,"MLOps encompasses the entire lifecycle of deploying, monitoring, and maintaining ML models.",Advanced,MLOps
SK001,Python,SK463,Flask,strong_prerequisite,Flask is a lightweight WSGI web application framework written in Python.,Intermediate,Backend Development
SK463,Flask,SK019,REST APIs,prerequisite,Flask is highly suited and commonly used for developing lightweight REST APIs.,Intermediate,Backend Development
SK013,Java,SK464,Hibernate,recommended_prerequisite,Hibernate is an object-relational mapping tool for the Java programming language.,Intermediate,Backend Development
SK015,JavaScript,SK465,Promises/Async-Await,strong_prerequisite,Asynchronous JavaScript is critical for handling API calls and non-blocking operations.,Intermediate,Frontend Development
SK465,Promises/Async-Await,SK049,React,recommended_prerequisite,Modern React applications heavily rely on asynchronous JavaScript for data fetching.,Intermediate,Frontend Development
SK010,Pandas,SK466,Time Series Analysis,recommended_prerequisite,"Time series analysis involves statistical techniques applied to data indexed in time order, often using Pandas.",Advanced,Data Science
SK001,Python,SK467,Web Scraping,recommended_prerequisite,Python is the dominant language for building scripts that automatically extract data from websites.,Intermediate,Data Engineering
SK012,AWS,SK468,Amazon API Gateway,recommended_prerequisite,"API Gateway is an AWS service for creating, publishing, maintaining, monitoring, and securing REST APIs.",Intermediate,Cloud
SK013,Microsoft Azure,SK469,Azure Cosmos DB,recommended_prerequisite,"Cosmos DB is Microsoft's globally distributed, multi-model database service.",Intermediate,Cloud
SK014,GCP,SK470,Google Pub/Sub,recommended_prerequisite,Pub/Sub is an asynchronous and scalable messaging service provided by Google Cloud.,Intermediate,Cloud
SK021,Linux,SK471,Shell Scripting,strong_prerequisite,Shell scripting involves writing computer programs designed to be run by the Unix shell.,Intermediate,DevOps
SK006,Docker,SK472,Docker Swarm,recommended_prerequisite,Docker Swarm is a clustering and scheduling tool for Docker containers.,Intermediate,DevOps
SK015,Kubernetes,SK473,Kustomize,recommended_prerequisite,Kustomize is a configuration management tool built into kubectl for customizing Kubernetes manifests.,Intermediate,DevOps
SK191,Network Security,SK474,IPSec,strong_prerequisite,IPSec is a secure network protocol suite that authenticates and encrypts packets of data.,Advanced,Cybersecurity
SK194,Ethical Hacking,SK475,Reverse Engineering,strong_prerequisite,Reverse engineering involves deconstructing software to extract design information and vulnerabilities.,Advanced,Cybersecurity
SK192,Application Security,SK476,Dynamic Code Analysis (DAST),recommended_prerequisite,DAST tools analyze applications while they are running to find security vulnerabilities.,Intermediate,Cybersecurity
SK026,Swift,SK477,Combine Framework,recommended_prerequisite,Combine is Apple's declarative Swift API for processing values over time.,Advanced,Mobile Development
SK027,Kotlin,SK478,Kotlin Coroutines,strong_prerequisite,Coroutines provide asynchronous programming capabilities essential for modern Android apps.,Intermediate,Mobile Development
SK057,Flutter,SK479,Dart Isolate,recommended_prerequisite,"Isolates are Dart's model for multithreading, necessary for heavy computation in Flutter.",Advanced,Mobile Development
SK368,System Design,SK480,CAP Theorem,strong_prerequisite,The CAP theorem is a fundamental concept for understanding the trade-offs in distributed data stores.,Advanced,Architecture
SK368,System Design,SK481,Rate Limiting,strong_prerequisite,Rate limiting is a strategy used to control the amount of incoming and outgoing traffic to a network.,Intermediate,Architecture
SK373,Automated Testing,SK482,Mocking Frameworks,strong_prerequisite,Mocking frameworks simulate the behavior of real objects for isolated unit testing.,Intermediate,Testing
SK376,JUnit,SK483,Mockito,recommended_prerequisite,Mockito is a popular mocking framework used in conjunction with JUnit for Java testing.,Intermediate,Testing
SK005,SQL,SK484,Stored Procedures,strong_prerequisite,Stored procedures are prepared SQL codes that you can save and reuse in a database.,Intermediate,Database
SK005,SQL,SK485,Database Triggers,strong_prerequisite,Triggers are procedural codes automatically executed in response to certain events on a particular table.,Intermediate,Database
SK212,Embedded C,SK486,Memory Management,strong_prerequisite,Explicit memory management is critical when writing C code for resource-constrained embedded systems.,Advanced,Embedded Systems
SK213,Microcontrollers,SK487,Interrupt Handling,strong_prerequisite,Interrupts are signals that temporarily halt the microcontroller's main program to execute urgent tasks.,Advanced,Embedded Systems
SK241,Blockchain,SK488,Peer-to-Peer Networks,strong_prerequisite,Blockchain operates on decentralized P2P networks rather than client-server architectures.,Intermediate,Blockchain
SK115,Solidity,SK489,Truffle Framework,recommended_prerequisite,Truffle is a development environment and testing framework for blockchains using the Ethereum Virtual Machine.,Intermediate,Blockchain
SK062,User Research,SK490,A/B Testing (UX),recommended_prerequisite,A/B testing in UX compares two versions of a webpage or app to determine which performs better.,Intermediate,UI/UX
SK061,Wireframing,SK491,Balsamiq,recommended_prerequisite,Balsamiq is a rapid wireframing tool that helps reproduce the experience of sketching on a whiteboard.,Beginner,UI/UX
SK106,C++,SK492,Memory Allocation,strong_prerequisite,Manual memory allocation and deallocation are fundamental concepts in high-performance C++ game engines.,Advanced,Game Development
SK079,Unity,SK493,Unity Physics 2D,recommended_prerequisite,Unity Physics 2D is the engine module used specifically for simulating 2D game physics.,Intermediate,Game Development
SK078,Unreal Engine,SK494,Niagara VFX,recommended_prerequisite,Niagara is Unreal Engine's next-generation visual effects system used for particle simulation.,Advanced,Game Development
